pca1,pca2,community,t-sne1,t-sne2,simplified community,username,engagement_score,retweet_count,favorite count,followers count,tweet_text
-13249.543427229171,-0.0475752702127644,2,4.756463,-41.59423,2,authority,0.0150659133709981,0,8,530,"smh, written before he passed away; he was unhappy about rumored 'plans' for the character of Tchalla in the MCU; like I've stated before it's as if they jumped at the opportunity to no longer show a powerful black man on their screens on par with/better than, other white heroes;"
-13249.543427229171,-0.0475752702127644,2,4.756463,-41.59423,2,authority,0.0150659133709981,0,8,530,"@YuhDunKnoEH @MyWakandanKing @consumecomics I think we gave it a pass, cause we assumed we would get more Tchalla, soon, and they'd make up for it with the next film; none of us knowing what the next few months would hold"
-13249.543427229171,-0.0475752702127644,2,4.756463,-41.59423,2,authority,0.0150659133709981,0,8,530,"@scarlettskyys @AceParadoX @SenpaiShinobi1 @Pano27527647 @mcuculture @Croc_Block none of us knew he would pass away; but Just as audiences know Joker, whether is Jack Nicolson, Heath Ledger, RIP, Jared Leto, or the guy on Gotham, or Joaquin Phoenix; Audiences know who the Character is in the movie; We'd know it's still Tchalla; smh, we wish folks would stop"
-13249.543427229171,-0.0475752702127644,2,4.756463,-41.59423,2,authority,0.0150659133709981,0,8,530,"@KyloRenV2 @theafrotoad @BC42766710B @Variety being purposely obtuse is weird. You know good and well Tchalla is not the same as Chadwick Boseman. You know good and well just cause the 'actor' passed, does not mean they Retire and kill off the Character he played; #Joker didn't do that for Heath - why would MCU do that?"
-13249.543427229171,-0.0475752702127644,2,4.756463,-41.59423,2,authority,0.0150659133709981,0,8,530,@RobertD1905 @Ekie0 @sanemjfan @EmansReviews @EscaflowneClown @TchallaLives66 @JohnSLPaul @Brodie9992 Marvel didn't know he was going to die; most likely they had entire plans for Tchalla in future movies and 'stories' - they essentially Changed those stories because CB sadly passed away; and that just makes no sense. It doubles up on the trauma of losing CB already smh #careless
-12790.543427228988,-0.057582229274629,0,30.289349,28.788927,0,marcus tinker,0.005050505050505,0,5,989,@henryboy111 @EmansReviews Exactly. Kids saw a hero in T'Challa and to take him away from them because Chadwick passed away is just wrong. Honor Chadwick by continuing the story of T'Challa. Black Panther made the most for a solo superhero movie in Marvel and it won't happen again without T'Challa
-13721.54342722952,-0.0287515670612664,3,-45.363964,-38.25776,3,max007’s favorite holiday is 💀👻halloween🎃🕸,0.0338983050847457,0,2,58,"@Minato2002007 @charlieoliver @Marvel Agree, creators do deserves their payment, but right now we need to pay a fellow writer respect that just passed away."
-13721.54342722952,-0.0287515670612664,3,-45.363964,-38.25776,3,max007’s favorite holiday is 💀👻halloween🎃🕸,0.0338983050847457,0,2,58,"@Mr_Arizona2424 @THR So zombify person that just passed away is perfectly normal to you?

Alright, let's get Chadwick Boseman out of his coffin and put him in Black Panther 2."
-12979.543427228897,-0.0626362134316281,31,14.686822,38.853527,Other,rockydrago/unvaccinated/trumpwon2020/trump2024/fkh,0.0,0,0,800,"@ThomasConnorsJr Yup big pass for me.
Rip marvel movies"
-12979.543427228897,-0.0626362134316281,31,14.686822,38.853527,Other,rockydrago/unvaccinated/trumpwon2020/trump2024/fkh,0.0,0,0,800,"@Nerdrotics @FrMiller Big pass for me, rip marvel movies."
-13728.543427228897,-0.0626500010018083,257,-51.13354,-33.751583,Other,jay :),0.0,0,0,51,"@Grandecw @popgirliefan @ThePopTingz Well... 1 chris is an actual actor and isnt dua just a singer? Chris can act u just haven't seen anything pass marvel movies, which his charcter is a soldier so I mean obviously he has to act like one"
-13722.543427228897,-0.0626498905539831,0,-46.25241,-37.922523,0,jonah hosein,0.0,0,0,57,"@Disney @MarvelStudios happy you chose to pay tribute in Wakanda Forever to @chadwickboseman, &amp; also chose to explore the other characters in Black Panther/Wakanda Forever. However i feel a little less thrilled about the mantle not being passed on to shuri, like in the comics."
-13710.54342722916,-0.0483639553726184,160,-33.992664,-36.130066,Other,sdub nation,0.0142857142857142,0,1,69,"@Crusty783 No matter the outcome we have to come to terms with the fact that firstly Ryan Coogler, Kevin Feige, Marvel and Disney had a difficult and impossible task to do when the MAIN LEADING STAR passed away. Whatever they have in store for us you either love it or hate it."
-13739.543427228897,-0.0626502034894878,6,-59.043926,-23.98823,6,"my capt america's black & my honda's blue, 🥷🏽!",0.0,0,0,40,@marvel_updat3s Unless a flashback: Maria passed away to cancer during the snap/blip. She was also killed off as Captain Marvel by Wanda/Scarlet Witch.
-13464.543427228951,-0.0594805843354738,924,-1.7175794,22.882051,Other,💍the final sky: charlotte sky,0.0031645569620253,0,1,315,"@Wife0fMany Fr. During C2 S4 and C3 S1 I was feeling bad for people who probably like marvel and wouldn’t obtain the skins in the battle pass

And yes we have Spider-Man Zero and No away Home Spider-Man, but still"
-13574.543427228897,-0.0626471661742946,161,-11.076807,-2.723993,Other,can carlos be a contrarian?,0.0,0,0,205,"@skinfade15 @VisionsOfNeon @AbandonedLizard @hollywoodhandle You're right.

I'm not black. Hell, I'm barely latino.

So, I'm not culturally obligated or emotionally compromised to Black Panther that I have to give it a pass for it's narrative flaws or pretend that it holds the same weight as a film like Moonlight.

It's just a movie to me."
-13519.543427229177,-0.0473204832378126,0,-18.897232,27.238926,0,jc super,0.0153256704980842,0,4,260,@Ekie0 @Marvel I was never honestly ever going to watch the movie when he passed away cause I knew Disney was never gonna try anything to save his character
-13649.543427228897,-0.0626485467721097,925,-44.082813,7.1201715,Other,edu's plastic surgeon,0.0,0,0,130,"@Supreme_Wenger Goated actor tbh, I would've watched the movie just for Bale if he was included more in the movie, but from what I've heard he was underutilized so I'm gonna pass. Don't like marvel movies that much anyways."
-13122.543427228922,-0.0611190889325564,926,13.5514145,20.550245,Other,durrell,0.0015197568389057,0,1,657,"@YoungFirefly21 I have a feeling they did this for a couple reasons

1. I think they're trying to honor the actor by saying he truly was Black panther in mirroring the way that they pass away ( if they do )

2. Not recasting the actor kind of puts them in a corner they can't just blow him up"
-13122.543427228922,-0.0611190889325564,926,13.5514145,20.550245,Other,durrell,0.0015197568389057,0,1,657,"@YoungFirefly21 It took me min but he isn't happy if Black panther dies in the movie of a disease because Chadwick boseman passed away from a disease

He's trying to say that that's insensitive of Disney and the MCU to do"
-13122.543427228922,-0.0611190889325564,926,13.5514145,20.550245,Other,durrell,0.0015197568389057,0,1,657,"@YoungFirefly21 I have a feeling they did this for a couple reasons

1. I think they're trying to honor the actor by saying he truly was Black panther in mirroring the way that they pass away ( if they do )

2. Not recasting the actor kind of puts them in a corner they can't just blow him up"
-13122.543427228922,-0.0611190889325564,926,13.5514145,20.550245,Other,durrell,0.0015197568389057,0,1,657,"@YoungFirefly21 It took me min but he isn't happy if Black panther dies in the movie of a disease because Chadwick boseman passed away from a disease

He's trying to say that that's insensitive of Disney and the MCU to do"
-12597.543427228942,-0.0600932559739078,258,26.53488,5.1612926,Other,scooby,0.0025359256128486,1,2,1182,@ZamundaTwice hate to sound gate-keepy but you can tell who got into the medium at BP and that’s their only reference that one of the iconic characters in Marvel lore should be in permanently on the shelf because the actor who portrayed him tragically passed
-6100.543427229019,-0.0558689600000264,0,67.66185,14.156201,0,dlp bons plans,0.006640625,1,50,7679,LIVE | Nous sommes prêts à entrer dans le @Marvel Avengers Campus lors de cette première Journée Avant-Première Pass Annuel au sein du Walt Disney Studios Park ! 🦸‍♂️ https://t.co/c1giTZHzoK
-13510.543427228897,-0.062645988064159,927,-13.693178,36.540913,Other,alexander s,0.0,0,0,269,"@Smackerly They have an end goal, unfortunately their main star Chadwick tragically passed. Rewriting around his death as Black Panther, plus COVID, plus additional content we've already known about has slowed them down. And let's not pretend Spider-Man is fully owned, they work around Sony"
-13183.543427228897,-0.0626399686576852,6,16.30743,-33.51242,6,theo ndlovu,0.0,0,0,596,@Time17Prime honestly... Chadwick IS Black Panther. And if you say we should recast him... You clearly don't get what he brought to the table. The legacy of Black Panther will live on even with Shuri at helm. Do you recast your parents when they pass on?
-13421.543427228897,-0.0626443497547518,928,4.5665545,2.2495582,Other,gilbert millers,0.0,0,0,358,"@pacobella Oh really? &amp; why is that? How has it been? I made a decision &amp; I don’t regret it, especially since what marvel studios also Comics &amp; the MCU has become since Stanley passed away &amp; after 2018"
-13421.543427228897,-0.0626443497547518,928,4.5665545,2.2495582,Other,gilbert millers,0.0,0,0,358,"@pacobella How? I made a decision &amp; I don’t regret it, especially since what marvel studios also Comics in the MCU has become since Stanley passed away and after 2018"
-13421.543427228946,-0.0598588344344175,928,4.566555,2.2495563,Other,gilbert millers,0.0027855153203342,0,1,358,"@pacobella Oh really? &amp; why is that? How has it been? I made a decision &amp; I don’t regret it, especially since what marvel studios also Comics &amp; the MCU has become since Stanley passed away &amp; after 2018"
-13421.543427228946,-0.0598588344344175,928,4.566555,2.2495563,Other,gilbert millers,0.0027855153203342,0,1,358,"@pacobella How? I made a decision &amp; I don’t regret it, especially since what marvel studios also Comics in the MCU has become since Stanley passed away and after 2018"
